"","formula","GPR","expression_type","flux_type","correlated","predicted_by_default_FPA","PCC_by_target_expression","FDR_by_target_expression","PCC_by_default_FPA","FDR_by_default_FPA","predicted_by_optimal_boundary_FPA","maxPCC","coexpressionPCC","coexpressionPval"
"r_0112","acetate [cytoplasm] + ATP [cytoplasm] + coenzyme A [cytoplasm]  -> acetyl-CoA [cytoplasm] + AMP [cytoplasm] + diphosphate [cytoplasm] ","( YAL054C or YLR153C )","Low Diversity","Low Diversity","No","No",-0.135638233289859,0.636253954018744,-0.122856415775189,0.684416400796107,"No",0.0135347034132389,0.017840756026162,0.93254494816104
"r_0115","ATP [mitochondrion] + N-acetyl-L-glutamate [mitochondrion]  -> ADP [mitochondrion] + N-acetyl-L-gamma-glutamyl phosphate [mitochondrion] ","YER069W","Low Diversity","High Diversity","Yes","Yes",0.636739101197485,0.00248329245787499,0.764336344833484,7.99994381786985e-05,"Yes",0.827334931532884,0.759871396709974,1.05146955223186e-05
"r_0118","2-acetamido-5-oxopentanoate [mitochondrion] + L-glutamate [mitochondrion]  -> 2-oxoglutarate [mitochondrion] + N(2)-acetyl-L-ornithine [mitochondrion] ","YOL140W","Low Diversity","High Diversity","Yes","Yes",0.694306512999818,0.000681807769213384,0.773373573857824,5.86583872853781e-05,"Yes",0.828881237844088,0.76411102867295,8.76448324958116e-06
"r_0148","AMP [cytoplasm] + ATP [cytoplasm]  -> 2 ADP [cytoplasm] ","( YDL166C or YDR226W )","Not measured","Low Diversity","No","No",NA,NA,NA,NA,"No",0,0.157232688093801,0.452891985597289
"r_0151","5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole [cytoplasm]  -> AICAR [cytoplasm] + fumarate [cytoplasm] ","YLR359W","High Diversity","High Diversity","Yes","Yes",0.773907060431114,8.04291038941322e-05,0.619130928442305,0.00379760571279481,"Yes",0.77296306882755,0.676285674199392,0.000206232447831862
"r_0152","adenylo-succinate [cytoplasm]  <=> AMP [cytoplasm] + fumarate [cytoplasm] ","YLR359W","High Diversity","High Diversity","Yes","Yes",0.642487504109283,0.00225136513617164,0.709990199799807,0.000441602360620251,"Yes",0.835077970464724,0.656146658805409,0.00036863734597121
"r_0153","GTP [cytoplasm] + IMP [cytoplasm] + L-aspartate [cytoplasm]  -> adenylo-succinate [cytoplasm] + GDP [cytoplasm] + 2 H+ [cytoplasm] + phosphate [cytoplasm] ","YNL220W","High Diversity","High Diversity","Yes","Yes",0.71753915272047,0.000450025235034885,0.683765147933748,0.000916868025915083,"Yes",0.853197827054267,0.655591546616908,0.0003743631951688
"r_0154","5'-adenylyl sulfate [cytoplasm] + ATP [cytoplasm]  -> 3'-phospho-5'-adenylyl sulfate [cytoplasm] + ADP [cytoplasm] + H+ [cytoplasm] ","YKL001C","High Diversity","High Diversity","No","No",-0.152110745568717,0.598332509444909,-0.0664285966953547,0.791077701794939,"No",0.269734226759679,-0.140083409482205,0.504220755659274
"r_0173","acetaldehyde [cytoplasm] + H2O [cytoplasm] + NADP(+) [cytoplasm]  -> acetate [cytoplasm] + 2 H+ [cytoplasm] + NADPH [cytoplasm] ","YPL061W","High Diversity","High Diversity","No","No",-0.340554844762867,0.201849819605355,-0.182907976640305,0.502348267518151,"No",0.23811078763653,0.401407984347465,0.0467196874322799
"r_0175","acetaldehyde [mitochondrion] + H2O [mitochondrion] + NADP(+) [mitochondrion]  -> acetate [mitochondrion] + 2 H+ [mitochondrion] + NADPH [mitochondrion] ","( YER073W or YOR374W )","Low Diversity","High Diversity","No","No",-0.281603257541471,0.336680168309931,-0.362217927684899,0.141048706134733,"No",0.191082105906716,0.38001669752668,0.0609575662933207
"r_0195","D-glucose 6-phosphate [cytoplasm] + UDP-D-glucose [cytoplasm]  -> alpha,alpha-trehalose 6-phosphate [cytoplasm] + H+ [cytoplasm] + UDP [cytoplasm] ","(( YBR126C and YDR074W and YML100W ) or ( YBR126C and YDR074W and YMR261C ))","High Diversity","Low Diversity","Yes","Yes",0.710407110771077,0.000450025235034885,0.678785246332853,0.00103988727662567,"Yes",0.731143188191862,NA,NA
"r_0202","anthranilate [cytoplasm] + PRPP [cytoplasm]  -> diphosphate [cytoplasm] + N-(5-phospho-beta-D-ribosyl)anthranilate [cytoplasm] ","YDR354W","High Diversity","High Diversity","No","No",0.0321743557376232,0.95187591183291,0.0818383599390849,0.769993909225558,"No",0.153776738724554,0.107226750784731,0.609938918632263
"r_0203","chorismate [cytoplasm] + L-glutamine [cytoplasm]  -> anthranilate [cytoplasm] + H+ [cytoplasm] + L-glutamate [cytoplasm] + pyruvate [cytoplasm] ","( YER090W and YKL211C )","Low Diversity","High Diversity","No","No",0.100307980877334,0.737824859807077,0.220976549754085,0.404215994472566,"No",0.245979216028735,0.108678195293164,0.605081220881523
"r_0207","(N(omega)-L-arginino)succinic acid [cytoplasm]  <=> fumarate [cytoplasm] + L-arginine [cytoplasm] ","YHR018C","Low Diversity","High Diversity","Yes","Yes",0.74660016241671,0.000188969643975333,0.562804092603159,0.00961656977298677,"Yes",0.839997575652556,0.75838803798962,1.11966124903607e-05
"r_0208","ATP [cytoplasm] + L-aspartate [cytoplasm] + L-citrulline [cytoplasm]  <=> (N(omega)-L-arginino)succinic acid [cytoplasm] + AMP [cytoplasm] + diphosphate [cytoplasm] + H+ [cytoplasm] ","YOL058W","High Diversity","High Diversity","Yes","Yes",0.770517865158669,8.59137044947161e-05,0.541867839729223,0.0136322612162195,"Yes",0.832284777555963,0.760413574033841,1.02748150114189e-05
"r_0211","ATP [cytoplasm] + H2O [cytoplasm] + L-aspartate [cytoplasm] + L-glutamine [cytoplasm]  -> AMP [cytoplasm] + diphosphate [cytoplasm] + H+ [cytoplasm] + L-asparagine [cytoplasm] + L-glutamate [cytoplasm] ","( YGR124W or YPR145W )","High Diversity","High Diversity","No","No",0.111045471513936,0.71116156982093,0.203670329805179,0.447091474475649,"No",0.240337140183619,0.237705010491604,0.252552829333455
"r_0214","carbamoyl phosphate [cytoplasm] + L-aspartate [cytoplasm]  -> H+ [cytoplasm] + N-carbamoyl-L-aspartate [cytoplasm] + phosphate [cytoplasm] ","YJL130C","Low Diversity","Low Diversity","Yes","Yes",0.928116789759144,3.70999227458679e-09,0.653778391066491,0.00185433286968174,"Yes",0.927088553795397,0.622370640268954,0.0008932873762973
"r_0215","ATP [cytoplasm] + L-aspartate [cytoplasm]  -> 4-phospho-L-aspartate [cytoplasm] + ADP [cytoplasm] ","YER052C","High Diversity","High Diversity","No","No",0.160803208192231,0.580167760080625,0.324386046204657,0.192742627689259,"No",0.406885532630851,0.376052714487588,0.0639292869679925
"r_0216","2-oxoglutarate [cytoplasm] + L-aspartate [cytoplasm]  <=> L-glutamate [cytoplasm] + oxaloacetate [cytoplasm] ","YLR027C","High Diversity","Low Diversity","No","No",0.20394550713118,0.461181641989181,0.20359771351888,0.447091474475649,"No",0.473177386039632,0.436258372921325,0.0292442501353133
"r_0219","4-phospho-L-aspartate [cytoplasm] + H+ [cytoplasm] + NADPH [cytoplasm]  -> L-aspartate 4-semialdehyde [cytoplasm] + NADP(+) [cytoplasm] + phosphate [cytoplasm] ","YDR158W","Low Diversity","High Diversity","No","No",0.242246226606042,0.413042060220297,0.319638900544366,0.199210343140579,"No",0.415378832397253,0.374394572672636,0.065204953715515
"r_0225","ATP [cytoplasm] + PRPP [cytoplasm]  -> 5-phosphoribosyl-ATP [cytoplasm] + diphosphate [cytoplasm] ","YER055C","High Diversity","High Diversity","Yes","Yes",0.6981261934337,0.000625821293692649,0.822032459695036,8.98933580179663e-06,"Yes",0.837980894704512,0.811587917284504,8.50834907605412e-07
"r_0226","ADP [mitochondrion] + 3 H+ [cytoplasm] + phosphate [mitochondrion]  -> ATP [mitochondrion] + 2 H+ [mitochondrion] + H2O [mitochondrion] ","(( Q0080 and Q0085 and Q0130 and YBL099W and YBR039W and YDL004W and YDR298C and YDR322C-A and YDR377W and YJR121W and YKL016C and YLR295C and YML081C-A and YPL078C and YPL271W ) or ( Q0080 and Q0085 and Q0130 and YBL099W and YBR039W and YDL004W and YDR298C and YDR377W and YJR121W and YKL016C and YLR295C and YML081C-A and YPL078C and YPL271W and YPR020W ) or ( Q0080 and Q0085 and Q0130 and YBL099W and YBR039W and YDL004W and YDR298C and YDR322C-A and YDR377W and YJR121W and YKL016C and YLR295C and YML081C-A and YPL078C and YPL271W and YJL180C and YLR393W and YNL315C and YOL077W-A and YCL005W-A ))","Not measured","High Diversity","No","No",NA,NA,NA,NA,"No",0,0.106091419681685,0.613749869475324
"r_0250","2 ATP [cytoplasm] + bicarbonate [cytoplasm] + H2O [cytoplasm] + L-glutamine [cytoplasm]  -> 2 ADP [cytoplasm] + carbamoyl phosphate [cytoplasm] + 2 H+ [cytoplasm] + L-glutamate [cytoplasm] + phosphate [cytoplasm] ","( YJL130C and YJR109C and YOR303W )","High Diversity","Low Diversity","No","No",0.107416486789147,0.7200853542557,0.147069393250811,0.609465741715419,"No",0.206143339942681,0.6300394253688,0.0007372541753749
"r_0278","chorismate [cytoplasm]  -> prephenate [cytoplasm] ","YPR060C","Not measured","High Diversity","No","Yes",NA,NA,0.697496027608583,0.00062694772179697,"Yes",0.737989502190577,0.694064021158122,0.000118926033469566
"r_0279","5-O-(1-carboxyvinyl)-3-phosphoshikimic acid [cytoplasm]  -> chorismate [cytoplasm] + phosphate [cytoplasm] ","YGL148W","High Diversity","High Diversity","Yes","Yes",0.661220518185536,0.00151147697592642,0.642687649366202,0.00229805533997487,"Yes",0.720340066636064,0.666531263261819,0.000274703199807475
"r_0280","cis-aconitate [mitochondrion] + H2O [mitochondrion]  <=> isocitrate [mitochondrion] ","YLR304C","High Diversity","High Diversity","No","No",-0.00427135322262004,0.989779067264531,-0.150435309164822,0.601101244255941,"No",-0.00427168375526946,0.145549140012568,0.487557702371976
"r_0300","acetyl-CoA [mitochondrion] + H2O [mitochondrion] + oxaloacetate [mitochondrion]  -> citrate [mitochondrion] + coenzyme A [mitochondrion] + H+ [mitochondrion] ","( YNR001C or YPR001W )","High Diversity","High Diversity","No","No",0.177730026729092,0.527136073709801,0.310630063016401,0.21315814602238,"No",0.402116086228767,0.18525071344563,0.375325727883637
"r_0302","citrate [mitochondrion]  <=> cis-aconitate [mitochondrion] + H2O [mitochondrion] ","YLR304C","High Diversity","High Diversity","No","No",-0.0187517704164573,0.988246525616098,-0.153314648690578,0.600282940327216,"No",-0.0187517710397675,0.130326438263023,0.534646734861536
"r_0307","ammonium [cytoplasm] + ATP [cytoplasm] + UTP [cytoplasm]  -> ADP [cytoplasm] + CTP [cytoplasm] + 2 H+ [cytoplasm] + phosphate [cytoplasm] ","( YBL039C or YJR103W )","High Diversity","High Diversity","No","No",-0.0120553636421735,0.988246525616098,-0.374508143778634,0.126649499822953,"No",-0.0120553145818545,-0.0530247552696083,0.801251888810281
"r_0309","L-homocysteine [cytoplasm] + L-serine [cytoplasm]  -> H2O [cytoplasm] + L-cystathionine [cytoplasm] ","YGR155W","High Diversity","High Diversity","No","No",-0.473170542073742,0.0439341897233417,-0.0555783980550129,0.814945587142523,"No",0.337936239847675,-0.12858906136746,0.540153625848237
"r_0310","H2O [cytoplasm] + L-cystathionine [cytoplasm]  -> 2-oxobutanoate [cytoplasm] + ammonium [cytoplasm] + L-cysteine [cytoplasm] ","YAL012W","High Diversity","High Diversity","No","No",-0.507808032727548,0.0281322869264951,-0.503841873554506,0.0249334077510139,"No",-0.50358371601568,-0.137220547342235,0.513058975549177
"r_0344","dihydrofolic acid [cytoplasm] + H+ [cytoplasm] + NADPH [cytoplasm]  -> NADP(+) [cytoplasm] + THF [cytoplasm] ","YOR236W","Not measured","High Diversity","No","No",NA,NA,-0.565196213620184,0.00928760001169514,"No",-0.223650901351408,NA,NA
"r_0349","(S)-dihydroorotate [cytoplasm] + H2O [cytoplasm]  <=> H+ [cytoplasm] + N-carbamoyl-L-aspartate [cytoplasm] ","YLR420W","Not measured","Low Diversity","No","Yes",NA,NA,0.665214786791163,0.00140667372334067,"Yes",0.945663228383219,0.625777777417456,0.000820762207795894
"r_0352","(R)-2,3-dihydroxy-3-methylbutanoate [mitochondrion]  -> 3-methyl-2-oxobutanoate [mitochondrion] + H2O [mitochondrion] ","YJR016C","Low Diversity","High Diversity","No","No",-0.649002743158447,0.00199891072321946,-0.658270535388427,0.00167397080604041,"No",-0.547670162779703,-0.680141138972923,0.000183602721786786
"r_0353","(2R,3R)-2,3-dihydroxy-3-methylpentanoate [mitochondrion]  -> (S)-3-methyl-2-oxopentanoate [mitochondrion] + H2O [mitochondrion] ","YJR016C","Low Diversity","High Diversity","No","No",0.156426276869099,0.586923645372114,0.326731481634375,0.191721361511183,"No",0.354110306561658,0.198285600054961,0.342035640906669
"r_0361","dolichyl phosphate [cytoplasm] + GDP-alpha-D-mannose [cytoplasm]  -> dolichyl D-mannosyl phosphate [endoplasmic reticulum] + GDP [cytoplasm] ","YPR183W","High Diversity","High Diversity","No","No",-0.208070645026143,0.454956646000209,-0.535541984098067,0.0151783482670291,"Yes",0.712225995813547,-0.622418916245087,0.000892222354420737
"r_0362","dolichyl D-mannosyl phosphate [endoplasmic reticulum]  -> dolichyl phosphate [endoplasmic reticulum] + H+ [endoplasmic reticulum] + mannan [endoplasmic reticulum] ","(( YAL023C and YDL095W ) or YDL093W or YJR143C or YOR321W )","Not measured","High Diversity","No","No",NA,NA,-0.625035639714814,0.00334444123860859,"Yes",0.72690657392208,-0.614114864633407,0.00109236322827212
"r_0363","ATP [cytoplasm] + dTMP [cytoplasm]  -> ADP [cytoplasm] + dTDP [cytoplasm] ","YJR057W","Not measured","High Diversity","No","No",NA,NA,0.230544227119904,0.385852827634525,"No",0.23191007394631,-0.457093838527578,0.0216087092259619
"r_0364","dUTP [cytoplasm] + H2O [cytoplasm]  -> diphosphate [cytoplasm] + dUMP [cytoplasm] + H+ [cytoplasm] ","( YJR069C or YBR252W )","Low Diversity","High Diversity","No","No",-0.122850262220671,0.670235357614813,-0.30830415657005,0.216481758558988,"No",-0.122872653270063,-0.463050553350473,0.0197525421355199
"r_0366","2-phospho-D-glyceric acid [cytoplasm]  <=> H2O [cytoplasm] + phosphoenolpyruvate [cytoplasm] ","( YPL281C or YGR254W or YHR174W or YMR323W or YOR393W )","Not measured","High Diversity","No","No",NA,NA,0.389707756026327,0.108283065566942,"Yes",0.619340499216371,0.317431477063166,0.122055286792009
"r_0439","2 ferricytochrome c [mitochondrion] + 1.266 H+ [mitochondrion] + ubiquinol-6 [mitochondrion]  -> 2 ferrocytochrome c [mitochondrion] + 2.532 H+ [cytoplasm] + ubiquinone-6 [mitochondrion] ","(( Q0105 and YBL045C and YDR529C and YEL024W and YEL039C and YFR033C and YGR183C and YHR001W-A and YJL166W and YOR065W and YPR191W ) or ( Q0105 and YBL045C and YDR529C and YEL024W and YFR033C and YGR183C and YHR001W-A and YJL166W and YJR048W and YOR065W and YPR191W ))","Not measured","High Diversity","No","No",NA,NA,0.0915329819885378,0.752150827764146,"No",0.492074707823498,0.157857103227996,0.451076693066859
"r_0450","D-fructose 1,6-bisphosphate [cytoplasm]  <=> dihydroxyacetone phosphate [cytoplasm] + glyceraldehyde 3-phosphate [cytoplasm] ","YKL060C","High Diversity","High Diversity","No","No",0.247069878270613,0.409774893801578,0.372366256525385,0.127566564900343,"No",0.443045904997435,0.297242172299441,0.149028010133338
"r_0451","fumarate [mitochondrion] + H2O [mitochondrion]  <=> (S)-malate [mitochondrion] ","YPL262W","Low Diversity","High Diversity","No","No",0.256845365062609,0.38587109307048,0.0973348819339759,0.745434355998467,"No",0.258289506988362,0.195952819910641,0.347859851698021
"r_0460","ATP [cytoplasm] + L-cysteine [cytoplasm] + L-glutamate [cytoplasm]  -> ADP [cytoplasm] + H+ [cytoplasm] + L-gamma-glutamyl-L-cysteine [cytoplasm] + phosphate [cytoplasm] ","YJL101C","Not measured","High Diversity","No","No",NA,NA,-0.229214355574949,0.387323198310217,"Yes",0.750772003182918,NA,NA
"r_0466","D-glucose 6-phosphate [cytoplasm] + NADP(+) [cytoplasm]  -> 6-O-phosphono-D-glucono-1,5-lactone [cytoplasm] + H+ [cytoplasm] + NADPH [cytoplasm] ","YNL241C","High Diversity","Low Diversity","No","No",0.226017258225999,0.425172369831704,0.326508945066116,0.191721361511183,"No",0.360143533741056,-0.116834175869034,0.578091823499706
"r_0467","D-glucose 6-phosphate [cytoplasm]  <=> D-fructose 6-phosphate [cytoplasm] ","YBR196C","High Diversity","High Diversity","No","Yes",0.220256786945902,0.436482434017548,0.49866455881855,0.0269127547910193,"Yes",0.67554773113826,0.31065882402042,0.130672674948515
"r_0468","ATP [cytoplasm] + L-glutamate [cytoplasm]  -> ADP [cytoplasm] + L-gamma-glutamyl phosphate [cytoplasm] ","YDR300C","High Diversity","High Diversity","Yes","Yes",0.62601563842676,0.00295999052462563,0.520279522223855,0.0195992003974043,"Yes",0.62674306375245,0.59745132109463,0.00161289972283297
"r_0471","2-oxoglutarate [cytoplasm] + ammonium [cytoplasm] + H+ [cytoplasm] + NADPH [cytoplasm]  -> H2O [cytoplasm] + L-glutamate [cytoplasm] + NADP(+) [cytoplasm] ","( YAL062W or YOR375C )","High Diversity","High Diversity","No","No",0.260067253973722,0.384577469909194,0.261016589290898,0.314333204685164,"No",0.269853522175646,0.567630568498475,0.00308093669759886
"r_0473","H+ [cytoplasm] + L-gamma-glutamyl phosphate [cytoplasm] + NADPH [cytoplasm]  -> L-glutamic 5-semialdehyde [cytoplasm] + NADP(+) [cytoplasm] + phosphate [cytoplasm] ","YOR323C","High Diversity","High Diversity","No","Yes",0.239548612106477,0.413042060220297,0.517496083976249,0.0203529600079577,"Yes",0.535125090432601,0.600579965692818,0.00150152452717391
"r_0476","ammonium [cytoplasm] + ATP [cytoplasm] + L-glutamate [cytoplasm]  -> ADP [cytoplasm] + H+ [cytoplasm] + L-glutamine [cytoplasm] + phosphate [cytoplasm] ","YPR035W","High Diversity","Low Diversity","No","No",0.13380498158018,0.638260645092011,0.164820015012576,0.560690240406719,"No",0.372136698791878,0.261774646017721,0.206213790368157
"r_0485","ATP [cytoplasm] + L-gamma-glutamyl-L-cysteine [cytoplasm] + L-glycine [cytoplasm]  -> ADP [cytoplasm] + glutathione [cytoplasm] + H+ [cytoplasm] + phosphate [cytoplasm] ","YOL049W","High Diversity","High Diversity","No","No",-0.181933252236454,0.516529965389048,-0.227414354504913,0.38858974037687,"Yes",0.759725450448809,NA,NA
"r_0486","glyceraldehyde 3-phosphate [cytoplasm] + NAD [cytoplasm] + phosphate [cytoplasm]  <=> 1,3-bisphospho-D-glycerate [cytoplasm] + H+ [cytoplasm] + NADH [cytoplasm] ","( YGR192C or YJL052W or YJR009C )","Low Diversity","High Diversity","No","No",0.352943325672402,0.180980820643477,0.292282414549689,0.245381217908503,"Yes",0.569987949404393,0.297307887281487,0.148933857508044
"r_0489","glycerol 3-phosphate [cytoplasm] + H2O [cytoplasm]  -> glycerol [cytoplasm] + phosphate [cytoplasm] ","( YER062C or YIL053W )","High Diversity","Low Diversity","Yes","Yes",0.520695539698492,0.024752652530557,0.601186761096986,0.00532050217962288,"Yes",0.709640531170713,NA,NA
"r_0491","dihydroxyacetone phosphate [cytoplasm] + H+ [cytoplasm] + NADH [cytoplasm]  -> glycerol 3-phosphate [cytoplasm] + NAD [cytoplasm] ","( YDL022W or YOL059W )","High Diversity","Low Diversity","No","No",0.417584546660972,0.0893469974665829,-0.0862162961562207,0.764961197716855,"No",0.431882168521675,NA,NA
